,1959-1960,1960-1961,1961-1962,1962-1963,1963-1964,1964-1965,1965-1966,1966-1967,1967-1968,1968-1969,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
Sparta Rotterdam,10.0,4.0,9.5,2.5,14.0,6.0,7.0,3.0,5.0,9.0,5.0,6.0,4.0,4.0,10.0,7.0,11.5,7.0,5.0,6.0,14.5,7.0,9.0,4.0,8.0,4.0,6.5,8.0,11.5,13.5,11.0,14.5,8.5,13.0,9.0,16.0,7.0,13.5,10.0,16.5,13.5,17.0,17.0,,,,14.0,13.0,13.0,13.0,16.0,,,,,,,15.5,17.0,,10.5
Willem II,10.0,11.0,8.0,15.0,,,9.0,18.0,,,,,,,,,,,,,8.0,9.5,14.0,14.0,16.5,,,,4.0,15.0,14.5,8.5,11.5,10.0,7.5,7.5,11.5,15.0,6.0,2.0,9.0,8.0,10.0,11.0,7.0,10.0,17.0,15.0,15.0,12.0,17.0,18.0,,18.0,,9.5,16.0,13.0,13.0,10.0,5.0
AZ Alkmaar,,17.0,,,,,,,,17.0,12.0,17.0,,14.5,8.5,5.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,11.0,5.5,15.0,9.5,15.0,16.0,,,,,,,,,18.0,,9.0,7.5,13.0,12.5,9.5,5.0,3.0,2.0,3.0,11.5,1.0,5.0,4.0,4.0,10.5,8.0,3.0,4.0,6.0,3.0,4.0,1.5
Groninger VAV,,6.0,14.5,8.0,9.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAD Tilburg,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Volewijckers,,,9.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heracles Almelo,,,,13.5,12.5,7.5,16.0,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,12.5,14.0,14.0,14.5,6.0,8.0,12.0,12.5,14.0,13.5,6.0,9.0,10.0,7.0,8.0
Go Ahead Eagles,,,,,12.5,12.0,5.0,5.0,3.0,4.0,7.5,7.0,9.0,14.5,8.5,11.5,15.0,11.0,13.5,8.0,9.5,12.0,10.0,12.0,11.0,13.0,8.0,16.0,,,,,,14.0,12.0,16.0,17.5,,,,,,,,,,,,,,,,,,13.0,17.0,,18.0,,,
Telstar,,,,,,10.0,13.0,16.0,10.5,14.0,16.5,11.0,11.0,10.5,6.0,6.0,11.5,14.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Groningen,,,,,,,6.0,9.0,8.0,11.5,16.5,,12.5,13.0,16.0,,,,,,,15.0,7.0,6.0,5.5,5.0,4.0,13.0,10.0,7.0,10.0,3.0,5.0,12.0,14.5,14.0,10.0,10.0,17.0,,,15.0,14.5,15.5,13.0,12.0,5.0,8.0,7.0,6.0,8.0,5.0,14.0,7.0,7.0,9.5,7.0,9.0,12.0,8.5,9.0
FC Xerxes,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC Nijmegen,,,,,,,,,10.5,11.5,11.0,8.5,7.0,9.0,18.0,,8.0,16.5,13.5,15.0,13.0,16.0,13.0,18.0,,,16.5,,,,16.5,18.0,,,,12.5,15.5,16.0,10.0,11.0,17.5,12.0,8.5,5.0,14.0,13.0,9.5,10.0,8.0,11.0,13.0,11.0,8.5,14.5,17.0,,9.5,15.5,,,
Xerxes/D.H.C.,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holland Sport,,,,,,,,,,9.0,7.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVV Schiedam,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC Haarlem,,,,,,,,,,,13.5,18.0,,12.0,12.0,17.0,,12.0,16.0,16.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBV Excelsior,,,,,,,,,,,,16.0,16.0,17.0,,15.5,18.0,,,,11.5,18.0,,8.0,11.0,13.0,15.0,18.0,,,,,,,,,,,,,,,,18.0,,,,16.0,18.0,,,15.5,18.0,,,15.0,15.0,12.0,11.0,16.0,
FC Den Bosch,,,,,,,,,,,,,15.0,18.0,,,,,,,,,,,11.0,7.5,6.5,10.0,5.5,5.0,16.5,,,17.0,,,,,,,17.5,,16.0,,,17.5,,,,,,,,,,,,,,,
Vitesse,,,,,,,,,,,,,17.5,,,,,,9.0,14.0,17.5,,,,,,,,,,4.0,6.0,4.0,4.0,4.0,6.0,7.0,5.0,2.0,4.0,5.5,7.0,4.0,14.0,16.0,6.0,11.0,12.0,11.5,10.0,14.0,15.5,7.0,4.0,6.0,5.0,9.5,5.0,6.0,5.5,6.5
FC Amsterdam,,,,,,,,,,,,,,10.5,5.0,9.0,16.5,15.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roda JC Kerkrade,,,,,,,,,,,,,,,16.0,8.0,7.0,5.0,6.0,5.0,7.0,13.0,7.0,6.0,9.0,11.0,5.0,4.0,15.0,5.0,5.0,8.5,7.0,11.0,6.0,2.0,3.5,6.0,14.0,5.0,7.5,6.0,12.5,6.0,6.0,8.5,7.5,6.0,9.0,16.5,9.0,6.0,10.0,16.0,18.0,,14.0,17.0,16.0,,
De Graafschap,,,,,,,,,,,,,,,13.5,10.0,14.0,18.0,,,,,18.0,,,,,,,,,,17.0,,,,15.5,7.0,7.0,13.0,13.5,16.0,14.5,17.0,,17.5,,,16.0,16.5,,14.0,17.0,,,,17.0,,,17.0,
WVV Wageningen,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC Eindhoven,,,,,,,,,,,,,,,,,11.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEC Zwolle,,,,,,,,,,,,,,,,,,,,12.0,16.0,9.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,11.0,6.0,8.0,14.0,9.0,13.0,15.5
FC Wageningen,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBV Haarlem,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,4.0,9.5,12.0,10.0,8.0,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
